,Player,Year,active_to,Agility,Sprint,Body Fat,Bench,Weight,Height (No Shoes),Vertical (Max Reach),Vertical (No Step Reach),big_man,Years_Played,Expected_Output,Weight_by_Height,Weight_by_BF,Height_by_BF,WBF_by_H
40,A.J. Price,2009,2015,10.99,3.22,12.4,11.0,193.0,72.5,128.0,123.0,0,6,1,2.6620689655172414,15.564516129032258,5.846774193548387,0.33009655172413793
41,Luke Harangody,2009,2012,11.15,3.33,11.2,23.0,240.0,78.25,137.0,133.0,1,3,0,3.0670926517571884,21.42857142857143,6.986607142857143,0.34351437699680504
42,Jonny Flynn,2009,2012,10.86,3.23,6.3,10.0,196.0,71.25,135.5,128.5,0,3,0,2.7508771929824563,31.11111111111111,11.30952380952381,0.17330526315789474
43,Stephen Curry,2009,2018,11.07,3.28,5.7,10.0,181.0,74.0,132.5,126.5,0,9,1,2.445945945945946,31.75438596491228,12.982456140350877,0.13941891891891892
44,Jordan Hill,2009,2017,12.23,3.3,6.0,11.0,232.0,81.25,143.0,139.0,1,8,1,2.855384615384615,38.666666666666664,13.541666666666666,0.1713230769230769
45,Dionte Christmas,2009,2014,10.83,3.21,7.1,3.0,211.0,76.25,136.0,129.5,0,5,0,2.767213114754098,29.71830985915493,10.73943661971831,0.19647213114754095
46,Jeff Adrien,2009,2015,11.34,3.32,7.9,16.0,236.0,77.25,139.0,135.0,1,6,1,3.0550161812297736,29.873417721518987,9.778481012658228,0.24134627831715214
47,Jerel McNeal,2009,2015,10.61,3.25,5.4,10.0,190.0,73.5,136.0,131.0,0,6,1,2.5850340136054424,35.18518518518518,13.61111111111111,0.13959183673469389
48,Joe Ingles,2009,2018,10.66,3.3,10.1,3.0,209.0,79.75,136.0,131.0,0,9,1,2.6206896551724137,20.693069306930695,7.896039603960396,0.2646896551724138
49,John Wall,2010,2018,10.84,3.14,5.6,12.104264755000406,196.0,74.75,140.5,131.5,0,8,1,2.6220735785953178,35.0,13.348214285714286,0.14683612040133778
50,Paul George,2010,2018,11.416548363877428,3.3304081213896035,5.0,4.0,214.0,79.75,138.98035438041643,133.8575945804128,1,8,1,2.683385579937304,42.8,15.95,0.1341692789968652
51,Cole Aldrich,2010,2018,11.48,3.35,8.5,10.0,236.0,81.0,139.5,134.5,1,8,1,2.9135802469135803,27.764705882352942,9.529411764705882,0.24765432098765436
52,Xavier Henry,2010,2015,11.1,3.18,4.7,8.0,210.0,77.25,141.5,133.5,0,5,0,2.7184466019417477,44.680851063829785,16.43617021276596,0.12776699029126212
53,Ed Davis,2010,2018,11.7,3.21,10.0,10.098012319694897,227.0,81.0,144.0,139.0,1,8,1,2.802469135802469,22.7,8.1,0.28024691358024695
54,Patrick Patterson,2010,2018,11.14,3.25,5.3,17.0,240.0,80.0,140.5,135.5,1,8,1,3.0,45.28301886792453,15.09433962264151,0.15899999999999997
55,Larry Sanders,2010,2017,12.49,3.27,4.6,7.0,222.0,81.25,140.0,137.5,1,7,1,2.732307692307692,48.2608695652174,17.66304347826087,0.12568615384615384
56,Luke Babbitt,2010,2018,10.98,3.4,5.6,15.0,218.0,79.5,142.0,134.0,1,8,1,2.742138364779874,38.92857142857143,14.196428571428573,0.15355974842767295
57,Eric Bledsoe,2010,2018,10.992202924185293,3.18007031652798,5.6,9.0,192.0,72.25,131.45268916753523,123.95689835164836,0,8,1,2.657439446366782,34.285714285714285,12.901785714285715,0.14881660899653978
58,Avery Bradley,2010,2018,11.47,3.14,4.0,2.0,180.0,74.0,136.0,130.0,0,8,1,2.4324324324324325,45.0,18.5,0.0972972972972973
59,Evan Turner,2010,2018,11.06,3.27,8.6,9.0,214.0,77.75,138.0,131.0,0,8,1,2.752411575562701,24.88372093023256,9.040697674418604,0.2367073954983923
60,James Anderson,2010,2016,11.86,3.19,7.9,14.0,208.0,76.75,139.5,134.0,0,6,1,2.7100977198697067,26.32911392405063,9.715189873417721,0.21409771986970683
61,Craig Brackins,2010,2012,11.65,3.39,7.9,6.0,229.0,80.5,144.0,135.0,1,2,0,2.8447204968944098,28.987341772151897,10.189873417721518,0.2247329192546584
62,Trevor Booker,2010,2018,11.15,3.1,7.3,22.0,236.0,78.25,142.0,137.0,1,8,1,3.015974440894569,32.32876712328767,10.719178082191782,0.22016613418530348
63,Dominique Jones,2010,2013,10.88,3.31,5.9,19.0,216.0,75.25,133.5,127.0,0,3,0,2.870431893687708,36.61016949152542,12.754237288135592,0.16935548172757478
64,Jordan Crawford,2010,2018,11.03,3.37,4.9,7.0,198.0,75.0,135.5,132.5,0,8,1,2.64,40.40816326530612,15.306122448979592,0.12936
65,Daniel Orton,2010,2014,12.32,3.39,13.8,13.0,269.0,80.75,141.0,134.5,1,4,0,3.331269349845201,19.492753623188406,5.851449275362318,0.4597151702786378
66,Derrick Favors,2010,2018,11.74,3.25,6.5,14.0,245.0,80.75,145.5,141.5,1,8,1,3.0340557275541795,37.69230769230769,12.423076923076923,0.19721362229102168
67,Lazar Hayward,2010,2013,10.87,3.31,7.5,15.0,226.0,76.5,138.0,133.0,1,3,0,2.954248366013072,30.133333333333333,10.2,0.22156862745098038
68,Dexter Pittman,2010,2014,11.7399267885073,3.5063362890540652,20.8,14.387816275535043,303.0,81.5,140.3804791453563,136.41178468946305,1,4,0,3.7177914110429446,14.567307692307692,3.918269230769231,0.7733006134969326
69,Hassan Whiteside,2010,2018,11.83,3.54,5.5,12.0,227.0,82.5,144.5,140.0,1,8,1,2.7515151515151515,41.27272727272727,15.0,0.15133333333333332
